SUMMARY OF ALL EPFL LABS (AS PER 13.01.2013),,,,,,,
,,,,,,,
key:,,,,,,,
,Labs,,,,,,
,Labs with interinstitutional link,,link indicated where possible,,,,
,,,,,,,
,,,,,,,
ABBREV,FULL NAME,,PI,"INTER
INSTITUTIONAL LINK",,,
,,,,,,,
SCHOOL OF BASIC SCIENCES,,,,,,,
,,,,,,,
MATHICSE,Mathematics Institute of Computational Science and Engineering,,Quarteroni Alfio,,,,
ANCHP,Numerical Algorithms and High-Performance Computing - CADMOS Chair,,Kressner Daniel,,,,
ANMC,Chair of Computational Mathematics and Numerical Analysis,,Abdulle Assyr,,,,
CMCS,Chair of Modelling and Scientific Computing,,Quarteroni Alfio,,,,
CSQI,Scientific computing and uncertainty quantification - CADMOS Chair,,Nobile Fabio,,,,
,,,,,,,
MATHAA,Mathematics Institute for Analysis and Applications,,Davison Anthony C.,,,,
CAA,Chair of Mathematical Analysis and Applications,,Dacorogna Bernard,,,,
DISOPT,Chair of Discrete Optimization,,Eisenbrand Friedrich,,,,
PDE,Chair of Partial Differential Equations,,Krieger Joachim,,,,
PROB,Chair of Probabilities,,Dalang Robert,,,,
PRST,Chair of Stochastic Processes,,Mountford Thomas,,,,
SMAT,Chair of Mathematical Statistics,,Panaretos Victor,,,,
STAP,Chair of Applied Statistics,,Morgenthaler Stephan,,,,
STAT,Chair of Statistics,,Davison Anthony C.,,,,
,,,,,,,
MATHGEOM,Mathematics Institute for Geometry and Applications,,Bayer Fluckiger Eva,,,,
CAG,Chair of Geometric Analysis,,Ratiu Tudor,,,,
CSAG,Chair of Algebraic and Geometric Structures,,Bayer Fluckiger Eva,,,,
CTG,Chair of Group Theory,,Thévenaz Jacques,,,,
DCG,Chair of Combinatorial Geometry,,Pach János,,,,
EGG,Chair of ergodic and geometric group theory,,Monod Nicolas,,,,
GEOM,Chair of Geometry,,Hausel Tamás,,,,
LCVMM,Laboratory for Computation and Visualization in Mathematics and Mechanics,,Maddocks John H.,,,,
LMA,Laboratory of Algorithmic Mathematics,,Shokrollahi Amin,,,,
TAN,Chair of analytic number theory,,Michel Philippe,,,,
,,,,,,,
ISIC,Institute of Chemical Sciences and Engineering,,Dyson Paul Joseph,,,,
GSCP,Group of Chemical and Physical Safety,,Meyer Thierry,,,,
LCBC,Laboratory of Computational Chemistry and Biochemistry,,Röthlisberger Ursula,,,,
LCBIM,Neva Chair of Bioorganic Chemistry and Molecular Imaging,,Dubikovskaya Elena,,,,
LCBM,Fondation Sandoz Chair in Biophysical Chemistry of Macromolecules,,Fierz Beat,,,,
LCIB,Laboratory of Inorganic and Bioinorganic Chemistry,,Dyson Paul Joseph a.i.,,,,
LCMD,Computational Molecular Design Laboratory,,Corminboeuf Anne-Clémence,,,,
LCOM,Laboratory of Organometallic and Medicinal Chemistry,,Dyson Paul Joseph,,,,
LCPM,Laboratory of Molecular Physical Chemistry,,Rizzo Thomas,,,,
LCPPM,Laboratory of Physical Chemistry of Polymers and Membranes,,Vogel Horst,,,,
LCPT,Laboratory of Theoretical Physical Chemistry,,Vanicek Jiri,,,,
LCS,Laboratory of Supramolecular Chemistry,,Severin Kay,,,,
LCSA,Laboratory of Asymmetric Catalysis and Synthesis,,Cramer Nicolai,,,,
LCSB,Laboratory of Computational Systems Biotechnology (SB/SV/STI),,Hatzimanikatis Vassily,linked to which school/institution?,,,
LCSO,Laboratory of Catalysis and Organic Synthesis,,Waser Jérôme,,,,
LEPA,Laboratory of Physical and Analytical Electrochemistry,,Girault Hubert,,,,
LIMNO,Laboratory for Molecular Engineering of Optoelectronic Nanomaterials,,Sivula Kevin,,,,
LIP,Laboratory of Protein Engineering (SB/SV/STI),,Johnsson Kai,linked to which school/institution?,,,
LLCB2,Laboratory of Lymphatic and Cancer Bioengineering (SV),,Swartz Melody,with SV,,,
LMRP2,Merck Serono Chair in Drug Delivery (SV),,Hubbell Jeffrey Alan,with SV,,,
LPI,Laboratory of Photonics and Interfaces,,Graetzel Michael,,,,
LPPT,Laboratory of Therapeutic Proteins and Peptides,,Heinis Christian,,,,
LRMB,Laboratory of Biomolecular Magnetic Resonance,,Bodenhausen Geoffrey,,,,
LSMB,Biomolecular Mass Spectrometry Laboratory,,Tsybin Yury,,,,
LSPN,Laboratory of synthesis and natural products,,Zhu Jieping,,,,
LP,Polymers Laboratory (STI),,Klok Harm-Anton,,,,
LBTC2,Cellular Biotechnology Laboratory (SV),,Wurm Florian Maria,with sv,,,
LSU,Laboratory of Ultrafast Spectroscopy,,Chergui Majed,,,,
LSCI,Laboratory of Inorganic Synthesis and Catalysis,,Hu Xile,,,,
,,,,,,,
IPEP,Institute of Physics of Energy and Particles,,Tran Minh Quang,,,,
